key, n_premises, title
"wd17", 7, " Faut-il supprimer les frontières ? (nouveau)"
"wd18", 25, " Faut-il supprimer les notes à l'école ?"
"wd19", 117, " L'Europe occidentale est-elle en déclin ?"
"wd20", 33, " L'extrême-gauche doit-elle lutter contre l'islamophobie ?"
"wd21", 175, " La classe ouvrière est-elle la seule classe révolutionnaire ?"
"wd22", 26, " La croyance en Dieu est-elle bénéfique ?"
"wd23", 63, " La gauche doit-elle défendre le port du voile islamique ?"
"wd24", 189, " La liberté d'expression doit-elle être limitée ?"
"wd25", 189, " La liberté d'expression doit-elle être totale ?"
"wd26", 22, " La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?"
"wd27", 59, " La religion est-elle compatible avec le marxisme ?"
"wd28", 211, " Lénine est-il le précurseur de Staline ?"
"wd29", 58, " Le Front national est-il un parti fasciste ?"
"wd30", 18, " Le logiciel libre est-il en déclin ?"
"wd31", 2, " Le nationalisme est-il dangeureux ?"
"wd32", 1, " Le néolibéralisme va-t-il s'effondrer ?"
"wd33", 14, " Le nucléaire est-il une énergie d'avenir ?"
"wd34", 47, " Le réchauffement climatique est-il dû à l'activité humaine ?"
"wd35", 1, " Les biens communs sont-ils un modèle d'avenir ?"
"wd36", 37, " Les footballeurs professionnels sont-ils trop payés ?"
"wd37", 76, " Les hommes doivent-ils rejoindre le combat féministe ?"
"wd38", 68, " Les religions se rejoignent-elles ?"
"wd39", 5, " Peut-on changer le monde sans prendre le pouvoir ?"
"wd40", 104, " Pour ou contre le capitalisme ?"
"wd41", 49, " Pour ou contre le communisme ?"
"wd42", 23, " Pour ou contre le projet de loi Collomb Asile et immigration ?"
"wd43", 1, " Qui de jésus et de Mohammed est le sauveur de l'humanité tout entière ?"
"wd45", 19, " Sommes-nous libres de nos décisions ?"
"wd46", 17, " Une spiritualité rationnelle est-elle possible ?"
"wd47", 3, " Wikipédia est-elle fiable ?"
"am-tr0", 13, " Allah'ın, insanı ilk yarattığı andan itibaren, o kişinin ahiret gününde cennet/cehenneme gideceğini bilir olması mantıksızdır."
"am-tr1", 4, " Araç kullanırken sigara içmek cezalandırılmalıdır."
"am-tr2", 2, " Argüman'da, safsata tipleri ve açıklamaları çeşitlendirilmelidir"
"am-tr3", 2, " Bilinç, zeka için gereksiz bir yetidir"
"am-tr4", 6, " Bir fikir işçisinin gerçek düşmanı hemfikirleridir"
"am-tr5", 3, " Depresyon içedönük safsataların sonucudur."
"am-tr6", 2, " Devlet, sisteme giren paranın kaynağını sorgulamamalıdır."
"am-tr7", 8, " Fotoğraf makinelerinin kaydedebildiği gerçeklikte, realist çizimler yapmak korkunç bir emek israfıdır."
"am-tr8", 2, " Geleceğin yeni dini Dataizm olacaktır"
"am-tr9", 10, " Havyanların hayatı da insanlarınki kadar değerlidir"
"am-tr10", 6, " Hiçbir bilgisayar programı kendi başına bir sisteme zihin veremez."
"am-tr11", 3, " Hümanizm önümüzdeki 200 yıl içinde yok olacaktır."
"am-tr12", 3, " İstanbul suriçi araç trafiğine kapatılmalıdır"
"am-tr13", 8, " Kanal İstanbul projesinden vazgeçilmelidir"
"am-fr0", 4, " Arguman devrait créer un espace privé"
"am-fr1", 11, " Créer une liste de diffusion en plus de la liste de discussion pour l'organisation du processus constituant inter-ville"
"am-fr2", 4, " En grammaire, le «masculin» doit être renommé «neutre»."
"am-fr3", 18, " Il faudrait supprimer les cotisations retraites pour les jeunes de moins de 30 ans."
"am-fr4", 4, " Il faut interdire la pratique du « lancer de nain »"
"am-fr5", 5, " Il n'existe pas d'outils numérique permettant de créer un thème / problématique / question, de permettre à tous de particper et de mettre en avant les interventions les plus pertinentes puis de prendre des décisions à partir de toute la participation"
"am-fr6", 9, " La liste de discussion pour l'organisation du processus constituant inter-ville doit être publique"
"am-fr7", 7, " l'apéro de rentrée existe"
"am-fr8", 4, " Le café est bon pour la santé"
"am-fr9", 8, " L'enfer est pavé de bonnes intentions"
"am-fr10", 1, " Les relations entre les hommes sont conflictuelles"
"am-en0", 19, " Until Peace can be achieved with the Middle East, The United States should support the Middle East."
"am-en1", 11, " Congress has the implied power to establish a bank and federal laws are supreme over state laws"
"am-en2", 9, " Congress has the power to regulate employment conditions"
"am-en3", 10, " Congress passing the Gun-Free School Zones Act of 1990 did not count as a legislative activity that falls under the Commerce Clause"
"am-en4", 7, " Consideration of race violated the Equal Protection Clause of the 14th Amendment. "
"am-en5", 10, " Denial of Unemployment Benefits violates the First Amendment "
"am-en6", 10, " Schenck's conviction under the Espionage Act did not violate his First Amendment right of freedom of speech"
"am-en7", 12, " Donald Trump would make a great president"
"am-en8", 12, " Louisiana law does not infringe upon the 14th Amendment"
"am-en9", 11, " Madisons refusal to deliver is illegal and Marbury's jump straight to the Supreme Court is unconstitutional"
"am-en10", 9, " New Jersey was not in violation of the Establishment Clause"
"am-en11", 8, " Protest and hate speech is shielded by The First Amendment (Snyder v. Phelps)"
"am-en12", 2, " The U.S Southern will be build"
"am-en13", 12, " Separate educational facilities for different races are inherently unequal."
"am-en14", 9, " Sherbert’s Ability to Freely Practice Her Faith Was Hindered by the State’s Restrictions For Unemployment Compensation."
"am-en15", 4, " Slaves should be freed"
"am-en16", 5, " The President of the United States has no immunity for civil law litigation for actions done before taking office or unrelated to taking office. Vote (9-0)"
"am-en17", 9, " The denial of unemployment compensation infringed upon the Sherbert's First Amendment right to freely exercise her religion. "
"am-en18", 5, " There are ghosts in this world."
"am-en19", 10, " The War in Iraq can become a Catalyst for Progress in America"
"am-es0", 4, " El objetivo de nuestra especie podría ser la investigación"
"am-es1", 5, " El sentido de la vida es 42"
"am-es2", 31, " El sistema democrático representativo es capaz de proveer solución a todos los desafíos existenciales sociales"
"am-es3", 5, " Hay vida después de la muerte"
"am-es4", 4, " La acción colectiva esta orientada por relaciones sociales"
"am-es5", 2, " La lectura es una actividad que requiere esfuerzo y concentración"
"am-es6", 9, " La Renta Básica Universal Incondicional es aplicable en España"
"am-es7", 3, " La tierra es plana"
"am-es8", 4, " Vivir es ir perdiendo terreno."
"am-pl0", 19, " Należy zalegalizować eutanazję."
"am-ch0", 11, " 東南亞星期天向移工收費"
"am-ch1", 2, " ＩＡＭＦＲＥＥ"
"am-ch2", 6, " 加強英文 師資最重要"
"am-ch3", 7, " 可開放原住民狩獵"
"am-ch4", 156, " 兩韓會談將為東亞情勢帶來和平"
"am-ch5", 21, " 美國應出兵攻打伊拉克。"
"am-ch6", 53, " 女性比男性優越"
"am-ch7", 8, " 全球暖化是個騙局(教學用)"
"am-ch8", 119, " 日本福島與周邊核災地區的食品是有疑慮的"
"am-ch9", 110, " 日本由於安全原因禁用華為設備是合理的"
"am-ch10", 23, " 使對智障者的尊重從理想成為現實"
"am-ch11", 15, " 臺灣應使用核能發電"
"am-ch12", 8, " 未來應全面使用電動車輛"
"am-ch13", 10, " 我覺得伊朗女子完成鐵人三項是一件令人佩服的事"
"am-ch14", 31, " 香港應禁止食用魚翅。"
"am-tr14", 8, " Sanat Eleştirilemez"
"am-tr15", 11, " tanrının varlığını kanıtlamak telaşı gereksizdir."
"am-tr16", 3, " Tanrı söylediği için kötüdür"
"am-tr17", 8, " Vicdan güçlüleri korkutmak için düşünülmüş, korkakların kullandığı bir sözcükten başka bir şey değildir."
"am-tr18", 11, " Yalan söyleme olmadan bilim olmaz"
"am-tr19", 6, " Yapay zeka insanın varoluş anlamını tehdit etmektedir"
"am-ch15", 16, " 先工作再留學比畢業後直接留學好"
"am-ch16", 16, " 限制使用一次性塑膠用具"
"am-ch17", 12, " 以核養綠的公投應該同意嗎？"
"am-ch18", 90, " 中興大學百年校慶的天鵝意象是最佳選擇"
"am-ch19", 3, " 中油應興建第三天然氣接收站於觀塘地區"
"kl0", 4622, " All humans should be vegan."
"kl1", 180, " The Bible does not support the conclusion that homosexuality is a sin against God."
"kl2", 253, " Fair trade products cause more good than harm."
"kl3", 258, " Journalists have a moral obligation to display violent images."
"kl4", 1141, " There is no free will."
"kl5", 17820, " Fundamental rights should be extended to General AI."
"kl6", 1515, " If scientifically possible, humans should become immortal."
"kl7", 256, " Deliberately not preventing someones death is ethically equivalent to killing them."
"kl8", 715, " Hungary should leave the European Union."
"kl9", 103, " Marvel Universe is Better than DC Universe."
"kl10", 769, " NFL players should be forced to stand during the National Anthem."
"kl11", 1294, " Traditional bullfighting - the practice of fighting with bulls that includes physically injuring them - should be banned."
"kl12", 836, " Conscientious objection to abortion should be banned"
"kl13", 867, " Fracking should be banned."
"kl14", 651, " Governments should not set policies that limit free speech."
"kl15", 291, " Governments should fund security for places of worship."
"kl16", 529, " Hate speech should be legally protected."
"kl17", 316, " Judges should be appointed rather than elected."
"kl18", 299, " Should Kashmir Be An Independent State?"
"kl19", 284, " Teachers should not be allowed to wear religious symbols at school."
"kl20", 3493, " Wealthy countries should provide citizens with a universal basic income (UBI)."
"kl21", 409, " The United Kingdom should remain a member of the European Union."
"kl22", 861, " Donald Trump should be impeached."
"kl23", 521, " Voters in the UK should have a final vote on the Brexit deal."
"kl24", 62, " We should have an opt-out system for organ donation."
"kl25", 629, " Barack Obama was a good President."
"wd0", 133, " Dieu existe-t-il ?"
"wd1", 156, " Dieu existe-t-il ? (nouvelle version)"
"wd2", 4, " Espaces ou tabulations ?"
"wd3", 189, " Faut-il accueillir davantage de migrants ?"
"wd4", 80, " Faut-il arrêter de manger des animaux ?"
"wd5", 19, " Faut-il boycotter Facebook ?"
"wd6", 3, " Faut-il dépénaliser le cannabis ?"
"wd7", 92, " Faut-il généraliser le vote électronique ?"
"wd8", 51, " Faut-il incinérer les déchets ménagers à La Réunion ?"
"wd9", 152, " Faut-il instaurer un revenu de base ?"
"wd10", 9, " Faut-il instaurer un salaire à vie ?"
"wd11", 81, " Faut-il légaliser le cannabis ?"
"wd12", 3, " Faut-il préférer les logiciels libres ?"
"wd13", 44, " Faut-il préserver les Murs à pêches de Montreuil ?"
"wd14", 38, " Faut-il privatiser ADP ?"
"wd15", 3, " Faut-il réguler l'anonymat sur Internet ?"
"wd16", 39, " Faut-il se faire vacciner ?"
